"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over verzamelbrief Sport en Bewegen april 2026","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/23/kamerbriefoververzamelbriefsportenbewegenapril2026","Minister Sterk (Langdurige Zorg, Jeugd en Sport) informeert de Tweede Kamer over recente ontwikkelingen op het  terrein van sport en bewegen. Daarnaast gaat de brief over een beleidsreactie op het eindrapport ‘Achter de Coulissen’.Kamerbrief over verzamelbrief Sport en Bewegen april 2026",2026-04-23 14:07:19,"edf82c94-9f9d-463c-9798-bf931dbc78fb"
"Kamerbrief inzake Aanbieding Derde voortgangsrapportage PALLAS-nieuwbouwprogramma","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/23/kamerbriefinzakeaanbiedingderdevoortgangsrapportagepallasnieuwbouwprogramma","Kamerbrief inzake Aanbieding Derde voortgangsrapportage PALLAS-nieuwbouwprogramma",2026-04-23 14:05:17,"8eada1c0-f37a-4691-969a-aaf701f97b95"
"Uitstelbrief antwoorden Kamervragen over het artikel OM vervolgt nauwelijks zorginstellingen na onnatuurlijke dood cliënten","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/23/uitstelbriefantwoordenkamervragenoverhetartikelomvervolgtnauwelijkszorginstellingennaonnatuurlijkedoodclienten","Uitstelbrief antwoorden Kamervragen over het artikel OM vervolgt nauwelijks zorginstellingen na onnatuurlijke dood cliënten",2026-04-23 08:04:00,"765f3a07-4e87-420f-9682-40e4e9bb75ca"
"Uitstelbrief antwoorden Kamervragen over het bericht Tienduizenden mensen met beperking kunnen gewoon aan de slag: Er is niets dat ik niet wil doen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/23/uitstelbriefantwoordenkamervragenoverhetberichttienduizendenmensenmetbeperkingkunnengewoonaandeslagerisnietsdatiknietwildoen","Uitstelbrief antwoorden Kamervragen over het bericht Tienduizenden mensen met beperking kunnen gewoon aan de slag: Er is niets dat ik niet wil doen",2026-04-23 07:50:08,"b55823fa-a735-4783-8307-cb2ff5d34785"
"Nota van wijziging en toelichting","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/notavanwijzigingentoelichting","Nota van wijziging en toelichting",2026-04-22 15:10:32,"4ad24368-fcfd-4ccb-b782-00dde28aca41"
"Nota naar aanleiding van het verslag","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/notanaaraanleidingvanhetverslag","Nota naar aanleiding van het verslag",2026-04-22 15:10:32,"f2977a9b-5b2e-48fe-ad09-f6ad5c5f4a14"
"Kamerbrief over Wijziging van de Wet aanvullende bepalingen verwerking persoonsgegevens in de zorg in verband met Richtlijn (EU) 2011/24 van het Europees Parlement en de Raad van 9 maart 2011 betreffende de toepassing van de rechten van patiënten bij grensoverschrijdende gezondheidszorg (PbEU 2011, L 88)","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/kamerbriefoverwijzigingvandewetaanvullendebepalingenverwerkingpersoonsgegevensindezorginverbandmetrichtlijneu201124vanheteuropeesparlementenderaadvan9maart2011betreffendedetoepassingvanderechtenvanpatientenbijgrensoverschrijdendegezondheidszorgpbeu2011l88","Kamerbrief over Wijziging van de Wet aanvullende bepalingen verwerking persoonsgegevens in de zorg in verband met Richtlijn (EU) 2011/24 van het Europees Parlement en de Raad van 9 maart 2011 betreffende de toepassing van de rechten van patiënten bij grensoverschrijdende gezondheidszorg (PbEU 2011, L 88)",2026-04-22 15:10:32,"38c9aff4-66c7-44f0-902b-a641745f8fff"
"Kamerbrief over aanbieding advies van de Commissie Zorg Caribisch Nederland 2025","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/kamerbriefoveraanbiedingadviesvandecommissiezorgcaribischnederland2025","Minister Sterk (Langdurige Zorg, Jeugd en Sport) stuurt de Tweede Kamer de adviesnota ‘Op weg naar gelijkwaardige zorg in Caribisch Nederland’ van de Commissie Zorg Caribisch Nederland 2025. Kamerbrief over aanbieding advies van de Commissie Zorg Caribisch Nederland 2025",2026-04-22 13:26:02,"d6dde719-2a64-4358-a5e4-afe69a103254"
"Antwoorden Kamervragen over gedwongen uithuisplaatsingen","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/22/antwoordenkamervragenovergedwongenuithuisplaatsingen","Staatssecretaris Van Bruggen (JenV) geeft antwoord op Kamervragen over gedwongen uithuisplaatsingen waarbij 1 of beide ouders door de strafrechter (al) veroordeeld is voor (een vorm van) kindermishandeling. Het Tweede Kamerlid Van Houwelingen (FVD) heeft de vragen gesteld.Antwoorden Kamervragen over gedwongen uithuisplaatsingen",2026-04-22 12:29:35,"42a4d7f1-5888-4985-888c-fab7c641e398"
"Kamerbrief verslag over Verzamelbrief curatieve ggz","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/03/09/kamerbrief-over-schriftelijk-overleg-so-inzake-inbreng-schriftelijk-overleg-verzamelbrief-curatieve-ggz-25424-768","Minister Hermans (VWS) stuurt de Tweede Kamer het verslag van het Schriftelijk Overleg (SO) over Verzamelbrief curatieve ggz. Kamerbrief verslag over Verzamelbrief curatieve ggz",2026-04-22 12:18:31,"1f73d93f-4100-4585-96a9-78d4e1d55fc6"
